province_name,total_population
ACEH,5407855
SUMATERA UTARA,15115206
SUMATERA BARAT,5640629
RIAU,6614384
JAMBI,3631136
SUMATERA SELATAN,8657008
BENGKULU,2060092
LAMPUNG,9176546
KEPULAUAN BANGKA BELITUNG,1494621
KEPULAUAN RIAU,2179820
DKI JAKARTA,10679951
JAWA BARAT,49405808.00000001
JAWA TENGAH,37032410.00000001
DI YOGYAKARTA,3761870
JAWA TIMUR,41149974.00000001
BANTEN,12251985
BALI,4415064
NUSA TENGGARA BARAT,5473671
NUSA TENGGARA TIMUR,5466285
KALIMANTAN BARAT,5541376
KALIMANTAN TENGAH,2741075
KALIMANTAN SELATAN,4182080
KALIMANTAN TIMUR,3859783
KALIMANTAN UTARA,727755
SULAWESI UTARA,2659543
SULAWESI TENGAH,3066143
SULAWESI SELATAN,9225747
SULAWESI TENGGARA,2701661
GORONTALO,1192737
SULAWESI BARAT,1458606
MALUKU,1881727
MALUKU UTARA,1319338
PAPUA BARAT,1183307
PAPUA,4418581
INDONESIA,275773774
